comment,label
"I absolutely love this post, amazing work!",positive
"This is so good, I would share it with friends.",positive
"Beautiful content and super helpful.",positive
"Wow, this made my day.",positive
"Great idea, very creative and fresh.",positive
"This update is fantastic.",positive
"Love the colors and the message.",positive
"So inspiring, keep posting more like this.",positive
"Honestly one of the best posts I've seen today.",positive
"This is really impressive.",positive
"Big fan of this, well done.",positive
"The quality here is excellent.",positive
"Super enjoyable and easy to understand.",positive
"I liked every part of this.",positive
"This deserves way more likes.",positive
"This is terrible and disappointing.",negative
"I do not like this at all.",negative
"Such a boring and low effort post.",negative
"This update made things worse.",negative
"Really bad, please fix it.",negative
"I regret wasting time on this.",negative
"This was confusing and frustrating.",negative
"Not helpful, not interesting, not worth it.",negative
"The quality dropped a lot here.",negative
"This feels rushed and careless.",negative
"I expected better than this.",negative
"Awful explanation, I still do not get it.",negative
"This is messy and hard to follow.",negative
"Pretty annoying experience overall.",negative
"Definitely my least favorite post from this page.",negative
"It is okay, nothing special.",neutral
"Average post, I do not feel strongly about it.",neutral
"I saw it, that is all.",neutral
"This exists.",neutral
"Not bad, not great either.",neutral
"It gives basic information.",neutral
"Fine for a quick look.",neutral
"I am neutral on this one.",neutral
"This seems standard.",neutral
"Decent enough, but not memorable.",neutral
"It works as expected.",neutral
"Some parts are useful, some are not.",neutral
"I understand the point, but I am not excited.",neutral
"More or less what I expected.",neutral
"Just another regular post.",neutral
