comment,clean_comment,label
"I absolutely love this post, amazing work!",i absolutely love this post amazing work,positive
"This is so good, I would share it with friends.",this is so good i would share it with friends,positive
Beautiful content and super helpful.,beautiful content and super helpful,positive
"Wow, this made my day.",wow this made my day,positive
"Great idea, very creative and fresh.",great idea very creative and fresh,positive
This update is fantastic.,this update is fantastic,positive
Love the colors and the message.,love the colors and the message,positive
"So inspiring, keep posting more like this.",so inspiring keep posting more like this,positive
Honestly one of the best posts I've seen today.,honestly one of the best posts i ve seen today,positive
This is really impressive.,this is really impressive,positive
"Big fan of this, well done.",big fan of this well done,positive
The quality here is excellent.,the quality here is excellent,positive
Super enjoyable and easy to understand.,super enjoyable and easy to understand,positive
I liked every part of this.,i liked every part of this,positive
This deserves way more likes.,this deserves way more likes,positive
This is terrible and disappointing.,this is terrible and disappointing,negative
I do not like this at all.,i do not like this at all,negative
Such a boring and low effort post.,such a boring and low effort post,negative
This update made things worse.,this update made things worse,negative
"Really bad, please fix it.",really bad please fix it,negative
I regret wasting time on this.,i regret wasting time on this,negative
This was confusing and frustrating.,this was confusing and frustrating,negative
"Not helpful, not interesting, not worth it.",not helpful not interesting not worth it,negative
The quality dropped a lot here.,the quality dropped a lot here,negative
This feels rushed and careless.,this feels rushed and careless,negative
I expected better than this.,i expected better than this,negative
"Awful explanation, I still do not get it.",awful explanation i still do not get it,negative
This is messy and hard to follow.,this is messy and hard to follow,negative
Pretty annoying experience overall.,pretty annoying experience overall,negative
Definitely my least favorite post from this page.,definitely my least favorite post from this page,negative
"It is okay, nothing special.",it is okay nothing special,neutral
"Average post, I do not feel strongly about it.",average post i do not feel strongly about it,neutral
"I saw it, that is all.",i saw it that is all,neutral
This exists.,this exists,neutral
"Not bad, not great either.",not bad not great either,neutral
It gives basic information.,it gives basic information,neutral
Fine for a quick look.,fine for a quick look,neutral
I am neutral on this one.,i am neutral on this one,neutral
This seems standard.,this seems standard,neutral
"Decent enough, but not memorable.",decent enough but not memorable,neutral
It works as expected.,it works as expected,neutral
"Some parts are useful, some are not.",some parts are useful some are not,neutral
"I understand the point, but I am not excited.",i understand the point but i am not excited,neutral
More or less what I expected.,more or less what i expected,neutral
Just another regular post.,just another regular post,neutral
